epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,25755.6,0.80286,0.459,0.95876,0.82642,0.7906,0.85415,0.66349,0.84951,0.45898,0.95226,0.00286522,0.00286522,0.00286522
43,26366.7,0.80086,0.45603,0.95558,0.82402,0.79288,0.85379,0.66421,0.84972,0.45862,0.95214,0.00285867,0.00285867,0.00285867
44,26978.7,0.79883,0.45511,0.95733,0.81763,0.79908,0.8547,0.66426,0.84957,0.45874,0.95223,0.00285197,0.00285197,0.00285197
45,27590.3,0.79877,0.45307,0.95723,0.81963,0.79626,0.85314,0.6644,0.84949,0.45982,0.95241,0.00284513,0.00284513,0.00284513
46,28204.6,0.79824,0.45155,0.95385,0.81952,0.79772,0.85332,0.66484,0.84952,0.45972,0.95225,0.00283814,0.00283814,0.00283814
47,28816.5,0.79669,0.45044,0.95643,0.82199,0.79637,0.85298,0.66423,0.84934,0.45942,0.95237,0.00283101,0.00283101,0.00283101
48,29429.8,0.7968,0.44878,0.95836,0.81757,0.80436,0.8528,0.66498,0.8492,0.45976,0.95276,0.00282374,0.00282374,0.00282374
49,30042.4,0.79528,0.44728,0.95327,0.81897,0.80056,0.8518,0.66411,0.84937,0.45969,0.95293,0.00281632,0.00281632,0.00281632
50,30652.9,0.79454,0.44755,0.95606,0.82571,0.79772,0.85158,0.6635,0.84972,0.46121,0.95345,0.00280875,0.00280875,0.00280875
51,31268.2,0.79317,0.44395,0.95233,0.82454,0.79916,0.85091,0.66301,0.84987,0.46145,0.95342,0.00280105,0.00280105,0.00280105
52,31877.9,0.79252,0.44374,0.95164,0.82877,0.79188,0.8512,0.66256,0.85008,0.46188,0.95361,0.0027932,0.0027932,0.0027932
53,32488,0.79008,0.44166,0.94694,0.82811,0.78768,0.84998,0.66126,0.85022,0.46292,0.9532,0.00278522,0.00278522,0.00278522
54,33099.5,0.79117,0.44179,0.94671,0.769,0.8252,0.84696,0.65833,0.85083,0.47087,0.9529,0.00277709,0.00277709,0.00277709
55,33709.3,0.79038,0.43945,0.94869,0.759,0.83319,0.84643,0.65722,0.851,0.47256,0.95274,0.00276883,0.00276883,0.00276883
56,34319.3,0.78788,0.43791,0.94735,0.75189,0.83685,0.84479,0.65629,0.8508,0.47333,0.95251,0.00276043,0.00276043,0.00276043
57,34930.6,0.78817,0.43796,0.9489,0.75617,0.83363,0.84406,0.65642,0.85081,0.47332,0.95262,0.00275189,0.00275189,0.00275189
58,35540.4,0.78642,0.43509,0.94465,0.74984,0.82911,0.84235,0.65453,0.85093,0.4749,0.95249,0.00274321,0.00274321,0.00274321
59,36151,0.78552,0.43454,0.95076,0.74897,0.82451,0.84299,0.65373,0.85128,0.47535,0.95279,0.00273441,0.00273441,0.00273441
60,36761.7,0.78471,0.43395,0.94415,0.81542,0.75336,0.84164,0.65332,0.85118,0.47754,0.9526,0.00272546,0.00272546,0.00272546
61,37372.9,0.78468,0.43187,0.9461,0.77605,0.80556,0.84195,0.65433,0.8514,0.47621,0.95286,0.00271639,0.00271639,0.00271639
62,37985.7,0.78356,0.43085,0.95019,0.77571,0.80923,0.84251,0.65488,0.85136,0.47562,0.95343,0.00270718,0.00270718,0.00270718
63,38596.7,0.78231,0.42873,0.94562,0.76401,0.81852,0.84143,0.65501,0.85168,0.47647,0.95371,0.00269785,0.00269785,0.00269785
