Model,mAP50-95,mAP50,Precision,Recall,Best Epoch,Total Epochs,Train Time
yolo12x,0.46844,0.59154,0.6204,0.56865,46,76,22:38:08
yolo11x,0.4627,0.58466,0.62624,0.55859,52,82,9:59:31
yolov8x,0.45957,0.58204,0.6249,0.55438,39,69,7:03:23
