epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18472.6,0.7814,0.92871,1.05197,0.61954,0.55473,0.58242,0.46125,0.84014,1.19676,1.07595,0.00286522,0.00286522,0.00286522
43,18909.1,0.77754,0.92004,1.05084,0.61821,0.55623,0.58266,0.4614,0.84007,1.19793,1.07596,0.00285867,0.00285867,0.00285867
44,19347.7,0.7747,0.90921,1.04755,0.61997,0.55643,0.58309,0.46185,0.84013,1.19823,1.07599,0.00285197,0.00285197,0.00285197
45,19784.9,0.77561,0.90481,1.04611,0.62082,0.55683,0.58332,0.4619,0.83961,1.19859,1.07569,0.00284513,0.00284513,0.00284513
46,20222.8,0.76997,0.89829,1.04377,0.62107,0.55809,0.58358,0.46192,0.83967,1.19963,1.07544,0.00283814,0.00283814,0.00283814
47,20661.8,0.76838,0.89016,1.04116,0.6198,0.55977,0.58373,0.46196,0.84007,1.19993,1.0756,0.00283101,0.00283101,0.00283101
48,21098.4,0.77001,0.88824,1.04316,0.61918,0.56109,0.58381,0.46188,0.84012,1.19957,1.07562,0.00282374,0.00282374,0.00282374
49,21535.5,0.76511,0.87757,1.04131,0.61984,0.56107,0.58402,0.46209,0.84058,1.20007,1.07607,0.00281632,0.00281632,0.00281632
50,21973,0.76173,0.87147,1.03901,0.62539,0.55788,0.58421,0.46209,0.84085,1.19963,1.0766,0.00280875,0.00280875,0.00280875
51,22409.6,0.76213,0.8657,1.03674,0.62777,0.55609,0.58423,0.4622,0.84092,1.19967,1.0766,0.00280105,0.00280105,0.00280105
52,22845.9,0.75795,0.85819,1.03482,0.62624,0.55859,0.58466,0.4627,0.84086,1.19982,1.07625,0.0027932,0.0027932,0.0027932
53,23282.4,0.75415,0.84843,1.03034,0.62411,0.5594,0.58454,0.46254,0.84055,1.2002,1.07574,0.00278522,0.00278522,0.00278522
54,23719.7,0.7559,0.84388,1.02979,0.62458,0.55982,0.58481,0.46251,0.84048,1.20041,1.07536,0.00277709,0.00277709,0.00277709
55,24157.2,0.75149,0.83686,1.0288,0.62543,0.55857,0.58485,0.46264,0.84085,1.20103,1.07519,0.00276883,0.00276883,0.00276883
56,24594,0.74983,0.82982,1.02684,0.62356,0.56193,0.58474,0.46249,0.8411,1.20193,1.07521,0.00276043,0.00276043,0.00276043
57,25030.2,0.74788,0.82737,1.02872,0.62326,0.56186,0.58457,0.46218,0.84174,1.20314,1.07574,0.00275189,0.00275189,0.00275189
58,25465.2,0.74806,0.82259,1.02737,0.62415,0.56059,0.58433,0.46186,0.84253,1.20366,1.07648,0.00274321,0.00274321,0.00274321
59,25901.1,0.74321,0.81226,1.02162,0.62188,0.56243,0.58377,0.4615,0.84337,1.20597,1.07684,0.00273441,0.00273441,0.00273441
60,26337,0.74045,0.80904,1.02232,0.62276,0.56243,0.58346,0.46118,0.84395,1.20653,1.07729,0.00272546,0.00272546,0.00272546
61,26777.3,0.73977,0.79988,1.02059,0.62253,0.56207,0.5827,0.46099,0.84441,1.20839,1.07783,0.00271639,0.00271639,0.00271639
62,27215.5,0.73873,0.79452,1.02129,0.62125,0.56219,0.58226,0.46071,0.84481,1.20993,1.07832,0.00270718,0.00270718,0.00270718
63,27652.8,0.73609,0.79064,1.02335,0.623,0.55992,0.58166,0.46016,0.84585,1.21211,1.07975,0.00269785,0.00269785,0.00269785
64,28089.9,0.7344,0.78499,1.02324,0.62218,0.5605,0.58144,0.45978,0.84679,1.21487,1.08132,0.00268838,0.00268838,0.00268838
65,28526.6,0.73384,0.77813,1.01837,0.62053,0.56044,0.58118,0.45934,0.84747,1.21674,1.08215,0.00267878,0.00267878,0.00267878
66,28963.9,0.73265,0.773,1.01482,0.62362,0.55751,0.58073,0.45873,0.84887,1.21876,1.08293,0.00266906,0.00266906,0.00266906
67,29400.8,0.72972,0.76935,1.0163,0.62514,0.55651,0.5801,0.458,0.8497,1.22108,1.08377,0.00265921,0.00265921,0.00265921
68,29839.7,0.72771,0.76235,1.01387,0.62401,0.55743,0.5798,0.45739,0.84965,1.22394,1.08383,0.00264924,0.00264924,0.00264924
69,30278.8,0.72706,0.75726,1.01322,0.62646,0.55568,0.57878,0.45675,0.85039,1.22721,1.0846,0.00263914,0.00263914,0.00263914
70,30717.9,0.72637,0.75609,1.01313,0.62347,0.55719,0.57828,0.45629,0.85124,1.23064,1.08588,0.00262891,0.00262891,0.00262891
71,31155.8,0.72185,0.74622,1.00902,0.62265,0.55771,0.57722,0.4552,0.8526,1.23411,1.08674,0.00261857,0.00261857,0.00261857
72,31594.4,0.72048,0.73975,1.00461,0.62323,0.55537,0.57646,0.45443,0.85314,1.23832,1.08654,0.0026081,0.0026081,0.0026081
73,32032.8,0.71889,0.73526,1.00711,0.62675,0.55292,0.57558,0.45394,0.85404,1.24178,1.08722,0.00259752,0.00259752,0.00259752
74,32471.4,0.71845,0.73215,1.00668,0.6265,0.55115,0.57471,0.45311,0.85484,1.24577,1.08795,0.00258681,0.00258681,0.00258681
75,32909.4,0.71734,0.72727,1.00576,0.62782,0.54724,0.57389,0.45243,0.85607,1.25026,1.08899,0.00257599,0.00257599,0.00257599
76,33348.1,0.71457,0.72303,1.00574,0.6268,0.54707,0.57341,0.45165,0.85707,1.25442,1.08983,0.00256505,0.00256505,0.00256505
77,33785.7,0.71323,0.71796,1.00338,0.6282,0.54537,0.57247,0.45089,0.85829,1.25903,1.09104,0.002554,0.002554,0.002554
78,34223.9,0.71207,0.71273,0.99999,0.62671,0.54638,0.57159,0.44994,0.85898,1.26323,1.09154,0.00254283,0.00254283,0.00254283
79,34660.8,0.71055,0.71185,1.00002,0.62088,0.55113,0.571,0.44912,0.85974,1.26769,1.09221,0.00253155,0.00253155,0.00253155
80,35097.6,0.70966,0.70519,0.99967,0.62269,0.5488,0.56989,0.4484,0.86054,1.27176,1.09307,0.00252016,0.00252016,0.00252016
81,35533.8,0.70686,0.70113,0.99802,0.62308,0.54747,0.56883,0.44754,0.86126,1.27493,1.09364,0.00250866,0.00250866,0.00250866
82,35971,0.70822,0.69738,0.99735,0.62185,0.54707,0.56832,0.44681,0.86194,1.2784,1.09435,0.00249705,0.00249705,0.00249705
