epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15495.2,0.76335,0.86536,1.04567,0.62589,0.55428,0.58159,0.45913,0.84362,1.20641,1.08304,0.00286522,0.00286522,0.00286522
43,15862,0.75854,0.85828,1.0439,0.62562,0.55503,0.58153,0.45909,0.84362,1.20901,1.08315,0.00285867,0.00285867,0.00285867
44,16228.8,0.75718,0.84816,1.04096,0.62667,0.55431,0.58131,0.45915,0.84353,1.21106,1.08311,0.00285197,0.00285197,0.00285197
45,16595.9,0.75557,0.84234,1.04099,0.62609,0.55705,0.58129,0.45894,0.84447,1.21373,1.08384,0.00284513,0.00284513,0.00284513
46,16962.8,0.75235,0.8346,1.03919,0.6275,0.55597,0.58115,0.45882,0.84456,1.21644,1.08382,0.00283814,0.00283814,0.00283814
47,17329.5,0.75022,0.82614,1.03646,0.62726,0.55443,0.5808,0.45864,0.84543,1.21935,1.08424,0.00283101,0.00283101,0.00283101
48,17696,0.75185,0.82302,1.03651,0.62467,0.55619,0.58063,0.45843,0.84585,1.22121,1.08415,0.00282374,0.00282374,0.00282374
49,18063,0.7478,0.81568,1.03648,0.62359,0.55654,0.58009,0.45821,0.84668,1.2246,1.08485,0.00281632,0.00281632,0.00281632
50,18429.9,0.74351,0.80851,1.03241,0.62587,0.55454,0.57985,0.4579,0.84712,1.22765,1.08513,0.00280875,0.00280875,0.00280875
51,18797.1,0.74418,0.80385,1.03066,0.62897,0.55205,0.57915,0.45735,0.84679,1.23044,1.08474,0.00280105,0.00280105,0.00280105
52,19164,0.73988,0.7954,1.03185,0.63112,0.55008,0.57867,0.45717,0.84689,1.2331,1.08487,0.0027932,0.0027932,0.0027932
53,19530.8,0.73818,0.78956,1.02759,0.63512,0.5479,0.57826,0.45692,0.84726,1.23565,1.08502,0.00278522,0.00278522,0.00278522
54,19897.6,0.73607,0.78372,1.02625,0.62767,0.553,0.57786,0.45646,0.84776,1.23773,1.08557,0.00277709,0.00277709,0.00277709
55,20265,0.73343,0.77319,1.02517,0.62614,0.5537,0.57782,0.45621,0.84879,1.24067,1.08614,0.00276883,0.00276883,0.00276883
56,20632.2,0.73286,0.76882,1.02226,0.62726,0.55318,0.57745,0.45577,0.84954,1.24367,1.08663,0.00276043,0.00276043,0.00276043
57,20999.1,0.73002,0.76455,1.02215,0.62797,0.55142,0.5769,0.45539,0.85001,1.24731,1.08672,0.00275189,0.00275189,0.00275189
58,21366.1,0.73045,0.7608,1.02117,0.62615,0.55165,0.5764,0.45477,0.85034,1.25151,1.0872,0.00274321,0.00274321,0.00274321
59,21733.4,0.72651,0.75349,1.0158,0.62604,0.55163,0.57612,0.45434,0.85123,1.25484,1.08749,0.00273441,0.00273441,0.00273441
60,22100.5,0.7237,0.74817,1.01883,0.62603,0.552,0.57562,0.4537,0.85195,1.25782,1.0885,0.00272546,0.00272546,0.00272546
61,22467.9,0.72287,0.74288,1.01511,0.62542,0.55192,0.57496,0.45336,0.85307,1.26126,1.08937,0.00271639,0.00271639,0.00271639
62,22836.2,0.72152,0.73647,1.01483,0.63314,0.54613,0.5746,0.45307,0.8534,1.26581,1.08959,0.00270718,0.00270718,0.00270718
63,23203.4,0.71896,0.73301,1.01456,0.63088,0.54827,0.57398,0.45228,0.85399,1.26984,1.09028,0.00269785,0.00269785,0.00269785
64,23570.2,0.71872,0.72851,1.01264,0.62501,0.55168,0.57318,0.4518,0.85487,1.27403,1.09105,0.00268838,0.00268838,0.00268838
65,23936.9,0.71827,0.72474,1.01249,0.62661,0.55056,0.57277,0.45145,0.85586,1.277,1.09215,0.00267878,0.00267878,0.00267878
66,24303.1,0.71418,0.71786,1.01086,0.62205,0.5518,0.57211,0.45109,0.85655,1.27979,1.09308,0.00266906,0.00266906,0.00266906
67,24669.7,0.71071,0.71202,1.00887,0.62082,0.55282,0.57119,0.45043,0.85749,1.28391,1.09419,0.00265921,0.00265921,0.00265921
68,25036.3,0.71134,0.70952,1.00864,0.61957,0.55189,0.57052,0.44996,0.85831,1.28824,1.09515,0.00264924,0.00264924,0.00264924
69,25403.5,0.70935,0.70229,1.0068,0.61877,0.55231,0.56982,0.44935,0.85912,1.29291,1.09612,0.00263914,0.00263914,0.00263914
