epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1783.54,1.0618,0.97297,1.10426,0.54226,0.49515,0.51007,0.35104,1.00676,0.86616,1.05915,0.0670088,0.000333244,0.000333244
2,3518.62,0.99623,0.80486,1.06742,0.65074,0.63461,0.67615,0.48905,0.92801,0.62995,1.00558,0.0340088,0.000666559,0.000666559
3,5269.47,0.9708,0.74569,1.05062,0.71366,0.69939,0.74349,0.5456,0.9017,0.57376,0.9884,0.00100873,0.000999802,0.000999802
4,7008.14,0.94321,0.69306,1.03551,0.72511,0.72519,0.77022,0.57342,0.88528,0.53773,0.97907,0.000999756,0.000999756,0.000999756
5,8742.06,0.91835,0.64582,1.01555,0.73584,0.75657,0.79408,0.59405,0.8756,0.51633,0.96866,0.000999566,0.000999566,0.000999566
6,10485.4,0.90356,0.61797,1.01359,0.74119,0.76501,0.80184,0.60656,0.86938,0.50058,0.96942,0.000999322,0.000999322,0.000999322
7,12215.2,0.89093,0.59599,1.00186,0.74635,0.77682,0.81186,0.61862,0.86538,0.49174,0.96498,0.000999023,0.000999023,0.000999023
8,13963.6,0.88077,0.58075,0.99756,0.77462,0.77505,0.81932,0.62344,0.86295,0.48645,0.96313,0.000998671,0.000998671,0.000998671
9,15705.6,0.87387,0.56705,0.9912,0.77573,0.78029,0.82349,0.6265,0.8614,0.48333,0.96092,0.000998264,0.000998264,0.000998264
10,17442.8,0.86698,0.5579,0.9928,0.77855,0.7802,0.82538,0.62901,0.8599,0.4813,0.96152,0.000997803,0.000997803,0.000997803
11,19185.1,0.86519,0.54978,0.99094,0.77328,0.78237,0.82542,0.63123,0.85919,0.48103,0.96158,0.000997288,0.000997288,0.000997288
12,20921.7,0.85979,0.54166,0.98658,0.78142,0.78252,0.82884,0.63376,0.85855,0.48113,0.96148,0.00099672,0.00099672,0.00099672
13,22650.8,0.85513,0.53369,0.98313,0.78184,0.78492,0.82884,0.63451,0.85826,0.48283,0.96106,0.000996097,0.000996097,0.000996097
14,24385.8,0.85309,0.53101,0.9835,0.77842,0.79097,0.82969,0.63695,0.85776,0.48474,0.96098,0.00099542,0.00099542,0.00099542
15,26121.1,0.84959,0.52387,0.98237,0.77718,0.79362,0.82891,0.63665,0.85718,0.48657,0.96101,0.00099469,0.00099469,0.00099469
16,27860.7,0.84521,0.51813,0.97733,0.78238,0.79132,0.82925,0.63752,0.85617,0.48744,0.96052,0.000993906,0.000993906,0.000993906
17,29597.1,0.8432,0.51407,0.97724,0.7813,0.79441,0.83031,0.63779,0.85557,0.48764,0.96005,0.000993068,0.000993068,0.000993068
18,31331.2,0.84195,0.51243,0.97742,0.78249,0.79666,0.83122,0.63912,0.8551,0.48675,0.95972,0.000992177,0.000992177,0.000992177
19,33065.9,0.83851,0.5074,0.97399,0.78967,0.78933,0.83288,0.64078,0.85492,0.48532,0.9592,0.000991232,0.000991232,0.000991232
20,34805,0.83754,0.50376,0.97115,0.79503,0.78864,0.83452,0.6417,0.85455,0.4836,0.95776,0.000990234,0.000990234,0.000990234
21,36543.4,0.83413,0.50111,0.97128,0.79892,0.78781,0.83607,0.64355,0.85427,0.48135,0.95706,0.000989183,0.000989183,0.000989183
22,38282,0.83349,0.49965,0.9718,0.79459,0.79706,0.83889,0.64531,0.85433,0.47951,0.95694,0.000988079,0.000988079,0.000988079
23,40021,0.83047,0.49587,0.97141,0.79655,0.79866,0.8394,0.64519,0.85408,0.47782,0.95691,0.000986922,0.000986922,0.000986922
24,41755,0.82995,0.49295,0.9683,0.79323,0.80378,0.84154,0.6473,0.85366,0.47543,0.95649,0.000985711,0.000985711,0.000985711
25,43497,0.82986,0.49058,0.96824,0.79396,0.80887,0.84235,0.64853,0.85321,0.47342,0.9558,0.000984449,0.000984449,0.000984449
26,45233.7,0.82722,0.48807,0.96907,0.79702,0.80513,0.84283,0.64811,0.85316,0.4726,0.95572,0.000983133,0.000983133,0.000983133
27,46968.8,0.82669,0.48564,0.96936,0.79506,0.81114,0.84433,0.65028,0.85276,0.47154,0.95543,0.000981765,0.000981765,0.000981765
28,48703.1,0.82464,0.48307,0.97054,0.80135,0.80307,0.84594,0.65182,0.8528,0.47028,0.95631,0.000980345,0.000980345,0.000980345
29,50439.6,0.8222,0.48001,0.96779,0.80946,0.80133,0.84692,0.65209,0.85302,0.47017,0.95649,0.000978873,0.000978873,0.000978873
30,52177.2,0.82241,0.47916,0.96199,0.79565,0.8154,0.84759,0.65342,0.85296,0.46954,0.9552,0.000977349,0.000977349,0.000977349
31,53915.9,0.82233,0.47552,0.96239,0.79718,0.81248,0.8476,0.65378,0.85317,0.46897,0.95394,0.000975773,0.000975773,0.000975773
32,55653.1,0.81918,0.47617,0.96011,0.7941,0.81003,0.8475,0.65406,0.85325,0.4686,0.95236,0.000974145,0.000974145,0.000974145
33,57403.6,0.81744,0.47406,0.9559,0.80481,0.80388,0.847,0.65382,0.85311,0.4688,0.95095,0.000972466,0.000972466,0.000972466
34,59142.1,0.81564,0.47078,0.95731,0.80032,0.80753,0.84764,0.65431,0.85332,0.46895,0.95017,0.000970736,0.000970736,0.000970736
35,60876.3,0.81498,0.46887,0.95608,0.81992,0.79583,0.84749,0.65371,0.85323,0.46943,0.94941,0.000968955,0.000968955,0.000968955
36,62600.9,0.81371,0.46579,0.95663,0.81191,0.80393,0.84713,0.65351,0.85304,0.46955,0.94898,0.000967122,0.000967122,0.000967122
37,64324.9,0.81378,0.46477,0.96,0.80854,0.80868,0.84758,0.65487,0.85297,0.46958,0.94939,0.000965239,0.000965239,0.000965239
38,66052.7,0.81177,0.46337,0.96196,0.82447,0.79581,0.84727,0.65481,0.85303,0.46981,0.95063,0.000963306,0.000963306,0.000963306
39,67769.5,0.81079,0.46136,0.96317,0.8176,0.79934,0.8484,0.65572,0.85286,0.46946,0.9515,0.000961322,0.000961322,0.000961322
40,69487.3,0.80908,0.45872,0.95973,0.81484,0.8034,0.84915,0.65529,0.85265,0.46885,0.95165,0.000959289,0.000959289,0.000959289
41,71202.8,0.80835,0.45724,0.95731,0.81083,0.80648,0.849,0.65504,0.85258,0.46851,0.95161,0.000957205,0.000957205,0.000957205
42,72918.1,0.80787,0.45586,0.95912,0.81441,0.80137,0.84917,0.65501,0.85237,0.4677,0.95191,0.000955072,0.000955072,0.000955072
43,74638.2,0.80765,0.45525,0.95634,0.81365,0.80113,0.84886,0.65506,0.85225,0.46745,0.95153,0.000952889,0.000952889,0.000952889
44,76362.5,0.80395,0.45193,0.95736,0.8207,0.79849,0.85021,0.65463,0.85242,0.46721,0.95209,0.000950658,0.000950658,0.000950658
45,78086.7,0.80444,0.45133,0.95495,0.82214,0.79744,0.84997,0.65438,0.8525,0.46669,0.95179,0.000948377,0.000948377,0.000948377
46,79810.4,0.80367,0.44774,0.95351,0.81953,0.79421,0.84726,0.6539,0.8525,0.4669,0.95121,0.000946048,0.000946048,0.000946048
47,81531.8,0.80275,0.44836,0.95766,0.81668,0.79603,0.846,0.65239,0.85252,0.46769,0.95179,0.000943671,0.000943671,0.000943671
48,83259.1,0.80267,0.44647,0.95733,0.81152,0.80031,0.84505,0.6511,0.85263,0.46847,0.95247,0.000941245,0.000941245,0.000941245
49,84992,0.80054,0.44395,0.95537,0.81258,0.80038,0.84562,0.65193,0.8528,0.46831,0.95314,0.000938772,0.000938772,0.000938772
50,86776,0.80081,0.4441,0.94947,0.81221,0.7993,0.84486,0.65078,0.85285,0.46857,0.95202,0.000936251,0.000936251,0.000936251
51,88602.4,0.79886,0.4424,0.95137,0.80893,0.80278,0.84573,0.65033,0.85302,0.4687,0.95169,0.000933683,0.000933683,0.000933683
52,90396.2,0.79785,0.4412,0.95303,0.81202,0.80541,0.84451,0.64955,0.85325,0.46905,0.95194,0.000931067,0.000931067,0.000931067
53,92131.3,0.79657,0.44056,0.95514,0.81159,0.80202,0.84262,0.64823,0.85336,0.46945,0.95258,0.000928405,0.000928405,0.000928405
54,93858.5,0.7975,0.44011,0.95555,0.80648,0.80706,0.84239,0.6489,0.85309,0.46991,0.95275,0.000925697,0.000925697,0.000925697
