epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1096.31,1.25936,1.97463,1.39222,0.34882,0.30157,0.24998,0.1721,1.32756,2.3109,1.42548,0.0670112,0.00033322,0.00033322
2,2175.34,1.22012,1.8549,1.36575,0.40152,0.34922,0.31058,0.21675,1.2278,2.06594,1.3648,0.0340112,0.000666536,0.000666536
3,3246.27,1.14104,1.695,1.31131,0.43982,0.39836,0.36756,0.26797,1.10524,1.84242,1.28042,0.00101107,0.000999779,0.000999779
4,4311.79,1.07873,1.5713,1.26733,0.49358,0.43584,0.42667,0.31607,1.04208,1.64666,1.23387,0.000999756,0.000999756,0.000999756
5,5381.41,1.0345,1.48733,1.24069,0.51724,0.4577,0.45785,0.34247,1.0049,1.55489,1.20417,0.000999566,0.000999566,0.000999566
6,6451.5,1.0058,1.42347,1.21982,0.53282,0.47265,0.4772,0.36178,0.9667,1.50553,1.1764,0.000999322,0.000999322,0.000999322
7,7521.03,0.97862,1.37283,1.19946,0.5477,0.49544,0.49821,0.38029,0.942,1.43175,1.163,0.000999023,0.000999023,0.000999023
8,8590.03,0.95606,1.33029,1.18731,0.56241,0.49742,0.5094,0.39058,0.9246,1.39667,1.15089,0.000998671,0.000998671,0.000998671
9,9658.18,0.9451,1.29802,1.17738,0.56687,0.51385,0.52275,0.40169,0.91452,1.35991,1.14291,0.000998264,0.000998264,0.000998264
10,10726.7,0.9322,1.26977,1.16793,0.57768,0.51909,0.53254,0.40995,0.90298,1.32881,1.13539,0.000997803,0.000997803,0.000997803
11,11794.1,0.91524,1.24083,1.15877,0.5817,0.52235,0.53874,0.41736,0.89356,1.31182,1.12746,0.000997288,0.000997288,0.000997288
12,12861.7,0.9056,1.22236,1.1506,0.58189,0.53004,0.5443,0.42226,0.88491,1.29635,1.12135,0.00099672,0.00099672,0.00099672
13,13931,0.89708,1.20032,1.14443,0.58807,0.53288,0.5498,0.42812,0.87905,1.28349,1.11595,0.000996097,0.000996097,0.000996097
14,14998.9,0.88857,1.1782,1.13958,0.58643,0.53722,0.55376,0.43172,0.87351,1.27566,1.11292,0.00099542,0.00099542,0.00099542
15,16064.1,0.87977,1.16665,1.13272,0.58542,0.5435,0.55771,0.43568,0.86961,1.26366,1.11023,0.00099469,0.00099469,0.00099469
16,17124.1,0.87187,1.14899,1.13027,0.59109,0.54375,0.56061,0.43793,0.86519,1.25649,1.10757,0.000993906,0.000993906,0.000993906
17,18185.1,0.86522,1.13429,1.12356,0.59242,0.54665,0.56295,0.43993,0.86208,1.24939,1.10542,0.000993068,0.000993068,0.000993068
18,19245.4,0.85811,1.12116,1.11713,0.59398,0.54862,0.56502,0.44164,0.86081,1.24402,1.10387,0.000992177,0.000992177,0.000992177
19,20306.3,0.85456,1.10689,1.1156,0.59953,0.54838,0.56688,0.44354,0.85846,1.23832,1.10177,0.000991232,0.000991232,0.000991232
20,21367.3,0.84751,1.09847,1.11037,0.60617,0.54746,0.56851,0.4458,0.85615,1.23202,1.10012,0.000990234,0.000990234,0.000990234
21,22428.9,0.84201,1.08251,1.10738,0.60501,0.54909,0.56973,0.44714,0.85355,1.22722,1.09814,0.000989183,0.000989183,0.000989183
22,23491,0.83592,1.06938,1.10336,0.60214,0.55437,0.57141,0.44874,0.85246,1.22421,1.09768,0.000988079,0.000988079,0.000988079
23,24552,0.83497,1.06295,1.1019,0.60444,0.55461,0.57257,0.45021,0.85035,1.22186,1.09641,0.000986922,0.000986922,0.000986922
24,25616.2,0.83124,1.05354,1.09677,0.60363,0.5557,0.57374,0.45184,0.8494,1.21824,1.09579,0.000985711,0.000985711,0.000985711
25,26683.4,0.82715,1.04463,1.09692,0.60342,0.5586,0.57514,0.45316,0.8484,1.21703,1.09501,0.000984449,0.000984449,0.000984449
26,27750.6,0.82177,1.03394,1.09091,0.60488,0.55853,0.57658,0.45464,0.84792,1.21585,1.09426,0.000983133,0.000983133,0.000983133
27,28827.7,0.81702,1.02586,1.08936,0.60917,0.55603,0.57807,0.45578,0.84753,1.21382,1.09387,0.000981765,0.000981765,0.000981765
28,29900.1,0.81484,1.01589,1.08516,0.61106,0.55607,0.57923,0.457,0.84637,1.21329,1.09285,0.000980345,0.000980345,0.000980345
29,30971.5,0.81259,1.00452,1.08595,0.61352,0.55731,0.5807,0.45856,0.84534,1.21156,1.0921,0.000978873,0.000978873,0.000978873
30,32044,0.80939,1.00032,1.08456,0.61331,0.55818,0.58181,0.45984,0.84473,1.21107,1.09185,0.000977349,0.000977349,0.000977349
31,33116.5,0.80523,0.98862,1.07976,0.61466,0.55816,0.58283,0.46075,0.84367,1.21,1.09109,0.000975773,0.000975773,0.000975773
32,34187.5,0.80131,0.98245,1.07892,0.61726,0.55932,0.58418,0.4619,0.84268,1.20893,1.09061,0.000974145,0.000974145,0.000974145
